facility_id,drg_code,total_discharges,avg_submitted_charges,avg_total_payment,avg_medicare_payment,state,state_drg_avg,pct_of_state_avg
450064,291,81,51197.320988,11612.592593,9128.7160494,TX,11836.020339187113,98.11230684145261
450068,291,158,72056.246835,17168.417722,13625.987342,TX,11836.020339187113,145.05228303096266
450072,291,53,39815.320755,9157.3018868,7740.8113208,TX,11836.020339187113,77.36808170632897
450079,291,98,38613.183673,11292.030612,10086.122449,TX,11836.020339187113,95.40394734380396
450080,291,28,22274.285714,9710.1071429,8740.25,TX,11836.020339187113,82.03861487759897
450082,291,26,50363.846154,13353.730769,12615.269231,TX,11836.020339187113,112.82281025479483
450083,291,195,58318.107692,9691.3794872,8557.3487179,TX,11836.020339187113,81.88038892695579
450087,291,64,100553.84375,10040.25,7662.390625,TX,11836.020339187113,84.82792114473128
450090,291,19,25864.526316,11821.105263,11063.210526,TX,11836.020339187113,99.87398571682297
450092,291,12,65203.916667,9248.5,8448.5,TX,11836.020339187113,78.13859502572618
450097,291,40,119885.925,13942.125,11338.7,TX,11836.020339187113,117.79402705012191
450101,291,73,36282.342466,10788.356164,9517.6986301,TX,11836.020339187113,91.14850984398474
450102,291,348,75301.988506,9400.9022989,8392.9166667,TX,11836.020339187113,79.42620939721743
450104,291,75,25297.24,9359.0266667,8369.6533333,TX,11836.020339187113,79.07241115253751
450107,291,67,134910.14925,11756.835821,9106.8656716,TX,11836.020339187113,99.33098697097583
450119,291,106,130552.54717,11628.5,10567.037736,TX,11836.020339187113,98.24670511506265
450124,291,18,78413.277778,23103.111111,20502.222222,TX,11836.020339187113,195.19323597737835
450128,291,52,52625.826923,11490.153846,9521.7115385,TX,11836.020339187113,97.07784810032805
450132,291,131,40122.51145,11562.40458,9845.2671756,TX,11836.020339187113,97.68827907230595
450133,291,104,50661.980769,10613.394231,9421.8942308,TX,11836.020339187113,89.67029395734308
450135,291,275,53968.429091,10812.436364,8938.96,TX,11836.020339187113,91.35195829464574
450137,291,127,48089.614173,11748.307087,8515.8346457,TX,11836.020339187113,99.25892952467554
450147,291,111,130055.28829,9630.2072072,7881.7387387,TX,11836.020339187113,81.36355743928532
450148,291,60,43979.25,10664.733333,9492.8666667,TX,11836.020339187113,90.10404703083202
450152,291,101,36020.217822,10346.039604,9250.1584158,TX,11836.020339187113,87.41147199406178
450154,291,29,28321.482759,13480.172414,12431.896552,TX,11836.020339187113,113.89108862350778
450163,291,11,43089.363636,13084.181818,12356.909091,TX,11836.020339187113,110.54544891816744
450165,291,26,65526.692308,11799.192308,10937.653846,TX,11836.020339187113,99.68884785483866
450176,291,36,58519.222222,9693.1111111,8670.8888889,TX,11836.020339187113,81.89501904628962
450184,291,600,48490.973333,12332.473333,10409.658333,TX,11836.020339187113,104.19442498057572
450193,291,127,61959.811024,13142.874016,9456.1259843,TX,11836.020339187113,111.04132672437296
450196,291,145,32251.068966,9118.5241379,7975.4068966,TX,11836.020339187113,77.04045681393491
450200,291,75,40272.0,9303.72,7962.9466667,TX,11836.020339187113,78.60513697494179
450203,291,97,80044.938144,11042.319588,9435.3505155,TX,11836.020339187113,93.29419240215987
450209,291,93,103715.02151,12110.924731,10586.741935,TX,11836.020339187113,102.32260830866203
